Model,Metric,Mean,Std,Min,Max
logistic_regression,ROC AUC,0.5351398434516991,0.019213513761285057,0.5026787418862162,0.555770332187858
logistic_regression,ACCURACY,0.5665,0.02790061727712213,0.53875,0.61875
logistic_regression,PRECISION,0.032375678406867406,0.002177442626737994,0.029296875,0.03587443946188341
logistic_regression,RECALL,0.4666666666666667,0.055970671332249686,0.4027777777777778,0.5555555555555556
logistic_regression,F1,0.0605301994574091,0.004209762983468528,0.05474452554744526,0.06739679865206402
hist_gradient_boosting,ROC AUC,0.5229268088965254,0.01553473720512008,0.5055901584574265,0.5500787514318443
hist_gradient_boosting,ACCURACY,0.5093333333333334,0.018483476104047356,0.4795833333333333,0.5379166666666667
hist_gradient_boosting,PRECISION,0.032164322077803516,0.0020347237273155715,0.029914529914529916,0.03526448362720403
hist_gradient_boosting,RECALL,0.5277777777777779,0.03828902431136175,0.4861111111111111,0.5833333333333334
hist_gradient_boosting,F1,0.06062847122628565,0.0038353223705775543,0.05636070853462158,0.0665083135391924
knn,ROC AUC,0.5177202653684614,0.04550040788453597,0.45451806510118364,0.5955845504009164
knn,ACCURACY,0.6760833333333334,0.0073295444757653355,0.6633333333333333,0.6829166666666666
knn,PRECISION,0.031009724176058146,0.007291661241931268,0.022191400832177532,0.04353562005277045
knn,RECALL,0.325,0.08031573497111644,0.2222222222222222,0.4583333333333333
knn,F1,0.05661436215449471,0.013370404596006292,0.0403530895334174,0.07951807228915662
random_forest,ROC AUC,0.5147462056128294,0.028747490637697326,0.4875280402825506,0.5526501050019093
random_forest,ACCURACY,0.6535,0.02029744099907943,0.6279166666666667,0.6845833333333333
random_forest,PRECISION,0.03285794937284355,0.004056596077472551,0.02888583218707015,0.03826530612244898
random_forest,RECALL,0.37222222222222223,0.0591868770907292,0.2916666666666667,0.4583333333333333
random_forest,F1,0.060365149828768214,0.0075740576021317745,0.052565707133917394,0.07009345794392523
xgboost,ROC AUC,0.5292800210003819,0.018336415134640117,0.5083375095456281,0.5512570399007256
xgboost,ACCURACY,0.03808333333333334,0.005300681297929751,0.032916666666666664,0.04833333333333333
xgboost,PRECISION,0.030166485192962156,0.00024553545006354005,0.029794376835921108,0.030560271646859084
xgboost,RECALL,0.9972222222222221,0.005555555555555537,0.9861111111111112,1.0
xgboost,F1,0.058561408669583724,0.00046990435052826884,0.05784114052953157,0.05930807248764415
